number,created_at,closed_at,merged_at,user,state,comments
5971,2025-03-05 00:15:51+00:00,2025-12-23 23:11:32+00:00,,vedant713,closed,2
5969,2025-02-24 17:16:34+00:00,2026-01-25 21:13:09+00:00,2026-01-25 21:13:09+00:00,clarkepeterf,closed,0
5968,2025-02-24 12:59:41+00:00,2025-11-05 21:15:05+00:00,2025-11-05 21:15:05+00:00,clarkepeterf,closed,1
5966,2025-02-20 15:22:09+00:00,2025-12-23 23:16:09+00:00,,damithn,closed,0
5960,2025-01-28 00:15:28+00:00,2025-02-10 13:47:41+00:00,,mchoo7,closed,0
5955,2025-01-08 18:16:47+00:00,2025-01-23 19:52:30+00:00,,Sumit189,closed,1
5949,2024-12-16 00:32:48+00:00,,,nrgyapp,open,1
5946,2024-11-30 23:15:19+00:00,2024-12-12 22:27:04+00:00,2024-12-12 22:27:04+00:00,jonchurch,closed,1
5945,2024-11-29 06:01:29+00:00,,,socar-foden,open,0
5939,2024-11-04 08:29:38+00:00,2025-12-18 21:19:50+00:00,,Abhishek4802,closed,0
5925,2024-09-27 21:36:54+00:00,2025-01-23 19:51:56+00:00,,mad-chameleon,closed,1
5924,2024-09-19 11:22:20+00:00,,,Gopakuma,open,0
5919,2024-09-07 13:05:23+00:00,,,saddamhr,open,0
5915,2024-08-10 15:52:27+00:00,,,gweesin,open,0
5914,2024-08-08 23:20:03+00:00,,,vladik-vitre,open,1
5910,2024-07-28 16:17:29+00:00,2024-11-24 18:43:56+00:00,,prayas26,closed,0
5899,2024-07-04 11:19:58+00:00,2024-07-10 20:36:28+00:00,,ikennaoyekwe,closed,1
5892,2024-06-27 13:11:33+00:00,2024-11-12 20:47:46+00:00,,eryue0220,closed,0
5891,2024-06-22 17:46:16+00:00,2024-11-12 20:47:46+00:00,,Luccacvb,closed,0
5890,2024-06-20 14:05:36+00:00,,,dan-zinger-bjss,open,0
5889,2024-06-20 13:21:16+00:00,2024-06-20 13:31:19+00:00,,dan-zinger-bjss,closed,0
5888,2024-06-20 12:23:27+00:00,2024-06-20 12:31:12+00:00,,dan-zinger-bjss,closed,0
5887,2024-06-18 17:50:13+00:00,2024-11-12 20:47:45+00:00,,ianzone,closed,3
5886,2024-06-17 23:13:04+00:00,,,josemx,open,0
5878,2024-06-04 10:27:14+00:00,2025-01-23 19:51:36+00:00,,wwwenjie,closed,1
5877,2024-06-04 07:20:00+00:00,2024-06-04 07:20:19+00:00,,pmibex,closed,0
5874,2024-05-30 15:52:28+00:00,,,baguse,open,0
5869,2024-05-26 18:44:38+00:00,2024-11-12 20:47:45+00:00,,david-pilny,closed,4
5868,2024-05-26 18:38:45+00:00,2024-05-26 18:42:52+00:00,,david-pilny,closed,0
5867,2024-05-25 21:23:48+00:00,2024-05-26 17:59:32+00:00,,david-pilny,closed,0
5866,2024-05-24 09:27:34+00:00,,,SimonLandeholm,open,0
5863,2024-05-08 15:03:25+00:00,,,Juraj-Masiar,open,0
5861,2024-05-06 05:48:50+00:00,2024-05-06 05:49:21+00:00,,stechanil,closed,0
5858,2024-05-02 03:18:19+00:00,,,WolvenSpirit,open,1
5856,2024-05-01 15:27:31+00:00,2024-07-10 20:36:57+00:00,,1NONLYTG,closed,1
5855,2024-04-29 01:24:52+00:00,2024-11-12 20:47:44+00:00,,lewxdev,closed,6
5854,2024-04-29 01:05:07+00:00,2024-04-29 01:21:00+00:00,,lewxdev,closed,0
5852,2024-04-22 11:51:59+00:00,2024-11-12 20:48:18+00:00,,kapilkumar-github,closed,3
5849,2024-04-14 19:37:54+00:00,2024-11-12 20:47:44+00:00,,NorielSylvire,closed,0
5848,2024-04-12 12:25:31+00:00,,,andrii-milishchuk,open,0
5846,2024-04-11 11:34:18+00:00,2024-11-12 20:47:43+00:00,,andrii-milishchuk,closed,3
5842,2024-04-08 15:48:48+00:00,2024-04-11 18:37:01+00:00,,danielbayley,closed,5
5841,2024-04-08 15:26:28+00:00,2024-11-12 20:47:42+00:00,,danielbayley,closed,4
