number,created_at,closed_at,merged_at,user,state,comments
3772,2025-06-19 08:24:44+00:00,2025-06-19 14:39:18+00:00,2025-06-19 14:39:18+00:00,willmcgugan,closed,1
3770,2025-06-18 06:02:29+00:00,2025-06-23 16:21:45+00:00,,arkuhn,closed,2
3768,2025-06-17 16:33:12+00:00,2025-06-18 17:46:29+00:00,2025-06-18 17:46:29+00:00,willmcgugan,closed,1
3763,2025-06-15 15:26:58+00:00,2025-06-18 17:50:31+00:00,2025-06-18 17:50:31+00:00,notatallshaw,closed,6
3760,2025-06-12 19:43:51+00:00,2025-06-12 19:43:58+00:00,2025-06-12 19:43:58+00:00,willmcgugan,closed,0
3759,2025-06-12 18:36:09+00:00,2025-06-24 10:04:18+00:00,,iamevn,closed,2
3756,2025-06-09 10:12:34+00:00,2025-06-24 10:09:48+00:00,,bitplane,closed,1
3755,2025-06-08 07:03:06+00:00,2025-06-24 10:17:21+00:00,,MamoruDS,closed,2
3747,2025-05-29 01:16:08+00:00,2025-06-19 19:58:13+00:00,2025-06-19 19:58:13+00:00,alexzheng111,closed,0
3742,2025-05-21 09:38:28+00:00,2025-06-24 10:21:20+00:00,2025-06-24 10:21:20+00:00,TomJGooding,closed,3
3738,2025-05-19 18:46:55+00:00,2025-06-24 10:18:17+00:00,2025-06-24 10:18:17+00:00,TomJGooding,closed,2
3737,2025-05-19 14:23:30+00:00,2025-05-19 17:04:15+00:00,,cclauss,closed,3
3734,2025-05-13 14:43:59+00:00,,,abesto,open,1
3731,2025-05-10 16:02:04+00:00,2025-06-19 15:01:33+00:00,2025-06-19 15:01:33+00:00,TomJGooding,closed,1
3720,2025-05-05 05:25:13+00:00,2025-05-05 09:26:31+00:00,2025-05-05 09:26:31+00:00,jwilk,closed,1
3718,2025-05-01 21:13:15+00:00,2025-06-24 12:18:52+00:00,2025-06-24 12:18:52+00:00,TomJGooding,closed,3
3716,2025-04-30 18:29:34+00:00,2025-05-19 17:03:50+00:00,2025-05-19 17:03:50+00:00,TomJGooding,closed,5
3713,2025-04-24 02:26:35+00:00,,,dp-alvarez,open,1
3711,2025-04-23 11:25:37+00:00,,,IAdityaKaushal,open,0
3710,2025-04-23 07:41:19+00:00,2025-06-24 12:53:23+00:00,,IAdityaKaushal,closed,1
3709,2025-04-23 06:52:05+00:00,,,IAdityaKaushal,open,0
3702,2025-04-16 13:03:51+00:00,,,samuelcolvin,open,5
3700,2025-04-15 19:37:27+00:00,2025-06-20 18:50:32+00:00,,ichard26,closed,1
3698,2025-04-15 11:33:05+00:00,2025-05-02 16:24:47+00:00,2025-05-02 16:24:47+00:00,TomJGooding,closed,2
3696,2025-04-11 03:22:33+00:00,,,sefgit,open,1
3692,2025-04-04 18:36:42+00:00,2025-06-24 12:59:42+00:00,2025-06-24 12:59:42+00:00,smacke,closed,0
3691,2025-04-02 10:07:02+00:00,2025-06-07 06:10:37+00:00,,shyam-ramani,closed,0
3690,2025-04-02 09:37:25+00:00,2025-06-07 06:10:36+00:00,,shyam-ramani,closed,0
3689,2025-04-02 09:07:21+00:00,2025-04-02 09:09:14+00:00,,shyam-ramani,closed,0
3688,2025-04-02 08:07:32+00:00,2025-04-02 09:06:11+00:00,,shyam-ramani,closed,1
3687,2025-04-02 08:00:17+00:00,2025-04-02 09:04:03+00:00,,shyam-ramani,closed,1
3686,2025-04-02 07:50:26+00:00,2025-04-02 09:03:06+00:00,,shyam-ramani,closed,1
3684,2025-04-01 04:13:04+00:00,2025-06-07 06:10:36+00:00,,shyam-ramani,closed,0
